Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ELF,e.l.f. Beauty Inc. Common Stock,$29.51,-0.39,-1.304%,1512121821.00,United States,2016,146664,Consumer Non-Durables,Package Goods/Cosmetics
ESCA,Escalade Incorporated Common Stock,$22.2001,-0.1899,-0.848%,308662687.00,United States,,37476,Consumer Non-Durables,Recreational Products/Toys
FNKO,Funko Inc. Class A Common Stock,$21.28,0.27,1.285%,1059478617.00,United States,2017,1058242,Consumer Non-Durables,Recreational Products/Toys
FOSL,Fossil Group Inc. Common Stock,$12.845,-0.375,-2.837%,661846743.00,United States,1993,139435,Consumer Non-Durables,Consumer Specialties
FREE,Whole Earth Brands Inc. Class A Common Stock,$13.85,0.15,1.095%,532209366.00,United States,2019,80518,Consumer Non-Durables,Specialty Foods
FUV,Arcimoto Inc. Common Stock,$10.27,-1.18,-10.306%,367235584.00,United States,2017,1089541,Consumer Non-Durables,Motor Vehicles
GES,Guess? Inc. Common Stock,$27.30,-0.60,-2.151%,1759328926.00,United States,1996,240514,Consumer Non-Durables,Apparel
GIII,G-III Apparel Group LTD. Common Stock,$31.65,-0.31,-0.97%,1531120529.00,United States,1989,145844,Consumer Non-Durables,Apparel
GLAD,Gladstone Capital Corporation Common Stock,$10.785,0.025,0.232%,350408878.00,United States,2001,161006,Consumer Non-Durables,Textiles
HFFG,HF Foods Group Inc. Common Stock,$6.68,-0.07,-1.037%,346781585.00,United States,2017,33090,Consumer Non-Durables,Food Distributors
JBSS,John B. Sanfilippo & Son Inc. Common Stock,$91.60,-1.05,-1.133%,1050286791.00,United States,1991,4492,Consumer Non-Durables,Specialty Foods
JOUT,Johnson Outdoors Inc. Class A Common Stock,$149.90,-2.71,-1.776%,1515814583.00,United States,,12244,Consumer Non-Durables,Recreational Products/Toys
KRT,Karat Packaging Inc. Common Stock,$17.8501,-0.2699,-1.49%,341240362.00,United States,2021,116704,Consumer Non-Durables,Plastic Products
LMNR,Limoneira Co Common Stock,$17.315,-0.255,-1.451%,306214511.00,United States,,17961,Consumer Non-Durables,Farming/Seeds/Milling
LNDC,Landec Corporation Common Stock (DE),$11.08,-0.12,-1.071%,325007779.00,United States,1996,58886,Consumer Non-Durables,Packaged Foods
MGPI,MGP Ingredients Inc.,$63.36,-0.45,-0.705%,1389334637.00,United States,,28422,Consumer Non-Durables,Beverages (Production/Distribution)
MOV,Movado Group Inc. Common Stock,$30.23,-0.75,-2.421%,701888242.00,United States,,80704,Consumer Non-Durables,Consumer Specialties
MYE,Myers Industries Inc. Common Stock,$21.02,-0.31,-1.453%,758245968.00,United States,,55997,Consumer Non-Durables,Plastic Products
NLS,Nautilus Inc. Common Stock,$16.42,-0.20,-1.203%,498173556.00,United States,,677637,Consumer Non-Durables,Recreational Products/Toys
OXM,Oxford Industries Inc. Common Stock,$87.07,-1.81,-2.036%,1474159096.00,United States,,18518,Consumer Non-Durables,Apparel
RCKY,Rocky Brands Inc. Common Stock,$59.42,-0.58,-0.967%,430849132.00,United States,1993,68429,Consumer Non-Durables,Shoe Manufacturing
REV,Revlon Inc. New Common Stock,$11.05,0.09,0.821%,589388414.00,United States,1996,75280,Consumer Non-Durables,Package Goods/Cosmetics
SENEA,Seneca Foods Corp. Class A Common Stock,$48.98,-1.50,-2.971%,444159848.00,United States,,18617,Consumer Non-Durables,Packaged Foods
SENEB,Seneca Foods Corp. Class B Common Stock,$49.86,0.00,0.00%,452139854.00,United States,,194,Consumer Non-Durables,Packaged Foods
SGC,Superior Group of Companies Inc. Common Stock,$24.61,-0.35,-1.402%,382519456.00,United States,,18745,Consumer Non-Durables,Apparel
SPTN,SpartanNash Company Common Stock,$19.77,-0.18,-0.902%,717120670.00,United States,,141327,Consumer Non-Durables,Food Distributors
TPB,Turning Point Brands Inc. Common Stock,$48.56,-1.25,-2.51%,926491391.00,United States,2016,84979,Consumer Non-Durables,Tobacco
TTCF,Tattooed Chef Inc Class A Common Stock,$16.86,-1.85,-9.888%,432465929.00,United States,2018,5841705,Consumer Non-Durables,Packaged Foods
TUP,Tupperware Brands Corporation Common Stock,$27.34,-0.14,-0.509%,1355363139.00,United States,,200208,Consumer Non-Durables,Plastic Products
TWNK,Hostess Brands Inc. Class A Common Stock,$14.86,0.075,0.507%,1940754933.00,United States,2015,653230,Consumer Non-Durables,Packaged Foods
UEIC,Universal Electronics Inc. Common Stock,$56.10,-0.43,-0.761%,774660104.00,United States,1993,19562,Consumer Non-Durables,Consumer Electronics/Appliances
UFI,Unifi Inc. New Common Stock,$27.47,-0.66,-2.346%,507666203.00,United States,,15055,Consumer Non-Durables,Textiles
UNFI,United Natural Foods Inc. Common Stock,$34.415,-1.565,-4.35%,1937428079.00,United States,2019,407308,Consumer Non-Durables,Food Distributors
VITL,Vital Farms Inc. Common Stock,$24.92,0.10,0.403%,986528126.00,United States,2020,153752,Consumer Non-Durables,Packaged Foods
VRA,Vera Bradley Inc. Common Stock,$10.855,-0.095,-0.868%,362714289.00,United States,2010,56816,Consumer Non-Durables,Apparel
XXII,22nd Century Group Inc. Common Stock,$3.14,-0.07,-2.181%,478528153.00,United States,,1034886,Consumer Non-Durables,Farming/Seeds/Milling
